id,issue_id,author_id,author_name,field_id,field_name,original_from_value,original_to_value,from_value,to_value,created_date,_raw_data_params,_raw_data_table,_raw_data_id,_raw_data_remark
freshrelease:FreshreleaseIssueChangelogItems:2:10755:Parent,freshrelease:FreshreleaseIssue:2:10098,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,Parent,,EE-3,,,2020-06-12T00:52:12.893+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12469,
freshrelease:FreshreleaseIssueChangelogItems:2:10757:Parent,freshrelease:FreshreleaseIssue:2:10099,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,Parent,,EE-3,,,2020-06-12T00:52:23.725+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12470,
freshrelease:FreshreleaseIssueChangelogItems:2:10763:assignee,freshrelease:FreshreleaseIssue:2:10096,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,assignee,,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,,,2020-06-12T01:03:21.547+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12467,
freshrelease:FreshreleaseIssueChangelogItems:2:10764:assignee,freshrelease:FreshreleaseIssue:2:10097,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,assignee,,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,,,2020-06-12T01:03:34.878+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12468,
freshrelease:FreshreleaseIssueChangelogItems:2:10765:timeestimate,freshrelease:FreshreleaseIssue:2:10097,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeestimate,,7200,,,2020-06-12T01:03:40.427+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12468,
freshrelease:FreshreleaseIssueChangelogItems:2:10765:timeoriginalestimate,freshrelease:FreshreleaseIssue:2:10097,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeoriginalestimate,,7200,,,2020-06-12T01:03:40.427+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12468,
freshrelease:FreshreleaseIssueChangelogItems:2:10766:assignee,freshrelease:FreshreleaseIssue:2:10098,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,assignee,,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,,,2020-06-12T01:03:59.387+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12469,
freshrelease:FreshreleaseIssueChangelogItems:2:10767:timeestimate,freshrelease:FreshreleaseIssue:2:10098,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeestimate,,7200,,,2020-06-12T01:04:01.873+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12469,
freshrelease:FreshreleaseIssueChangelogItems:2:10767:timeoriginalestimate,freshrelease:FreshreleaseIssue:2:10098,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeoriginalestimate,,7200,,,2020-06-12T01:04:01.873+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12469,
freshrelease:FreshreleaseIssueChangelogItems:2:10768:assignee,freshrelease:FreshreleaseIssue:2:10097,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,assignee,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,,,2020-06-12T01:04:14.092+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12468,
